序号,题名,作者,年份,期刊,DOI或来源链接,检索关键词,所属类别,对应题目,参考价值,PDF状态,PDF文件路径
1,中药材干燥技术与装备研究现状,王乐意、李长河、刘明政等,2024,农业工程学报,https://doi.org/10.11975/j.issn.1002-6819.202306104,中药材热风干燥；中药材干燥技术；干燥装备,01_中药材干燥动力学,问题1、问题2、问题4,系统梳理中药材热风、热泵、红外等干燥机理与装备，是确定题目背景、变量和评价指标的总览。文中大量药材案例可用于说明温度、风速、切片尺度与品质、能耗及终点含水率之间的关系。,已下载,references\01_中药材干燥动力学\2024_王乐意_中药材干燥技术与装备研究现状.pdf
2,中草药干燥加工现状及发展趋势,巨浩羽、赵士豪、赵海燕、张卫鹏、高振江、肖红伟,2021,南京中医药大学学报,https://doi.org/10.14148/j.issn.1672-0482.2021.0786,中草药干燥；干燥模型；有效成分,01_中药材干燥动力学,问题1、问题4,综述理论、半理论和经验干燥模型及中药有效成分降解，可用于选择水分比模型和品质约束。其药材热风条件汇总可帮助设定参数范围并解释内部扩散控制阶段。,已下载,references\01_中药材干燥动力学\2021_巨浩羽_中草药干燥加工现状及发展趋势.pdf
3,西洋参分段式热风干燥动力学模型构建,吴小华、马渊博、宁旭丹、王鹏、张振涛,2020,农业工程学报,https://doi.org/10.11975/j.issn.1002-6819.2020.05.037,中药材热风干燥；干燥动力学；分段温度,01_中药材干燥动力学,问题1、问题4,给出西洋参分段热风干燥试验和动力学拟合，适合构建分阶段边界温度并预测干燥结束时间。可迁移其水分比、拟合误差与验证方法来标定药材模型。,已下载,references\01_中药材干燥动力学\2020_吴小华_西洋参分段式热风干燥动力学模型.pdf
4,不同预处理对铁皮石斛热风干燥特性及品质的影响,魏明、张倩、钱森和、赵世光、王辉、杨梦婷,2022,农业工程学报,https://doi.org/10.11975/j.issn.1002-6819.2022.08.032,中药材热风干燥；有效水分扩散系数；低场核磁,01_中药材干燥动力学,问题1、问题2、问题4,测定预处理对有效水分扩散系数、自由水迁移和干燥时间的影响，可为扩散系数取值和终点判定提供量级。低场核磁与干燥曲线还能作为内部水分迁移模型的实验验证依据。,已下载,references\01_中药材干燥动力学\2022_魏明_铁皮石斛热风干燥特性.pdf
5,枸杞分段式变温热风干燥特性及干燥品质,吴中华、李文丽、赵丽娟、师建芳、刘清,2015,农业工程学报,https://doi.org/10.11975/j.issn.1002-6819.2015.11.041,中药材热风干燥；分段变温；干燥时间,01_中药材干燥动力学,问题1、问题4,提供40–60℃分段变温策略、干燥时间及品质权衡的完整试验案例。适合支持时变对流边界条件、终点含水率约束和温度控制策略比较。,已下载,references\01_中药材干燥动力学\2015_吴中华_枸杞分段变温热风干燥.pdf
6,Hot Air Impingement Drying Enhanced Drying Characteristics and Quality Attributes of Ophiopogonis Radix,Zhian Zheng; Shanyu Wang; Chujie Zhang; et al.,2023,Foods,https://doi.org/10.3390/foods12071441,hot-air drying of Chinese medicinal materials；drying kinetics；effective moisture diffusivity,01_中药材干燥动力学,问题1、问题4,以麦冬为对象分析温度和风速对水分比、品质和微观结构的影响，并用神经网络预测干燥过程。可用于选取热风边界参数和验证干燥时间预测，但本机从开放站点下载时返回404。,下载失败,未公开获取
7,Effects of Different Drying Methods on Drying Characteristics and Quality of Glycyrrhiza uralensis (Licorice),Lichun Zhu; Mengqing Li; Wenxin Yang; Junyi Zhang; et al.,2023,Foods,https://doi.org/10.3390/foods12081652,medicinal plant drying kinetics；effective moisture diffusivity；licorice,01_中药材干燥动力学,问题1、问题4,比较甘草切片多种干燥方式，并给出动力学、品质和扩散相关指标。可作为药材试验数据组织、模型优选及综合品质评价的直接范例。,已下载,references\01_中药材干燥动力学\2023_Zhu_甘草不同干燥方法.pdf
8,黄芪切片热风干燥特性及动力学模型研究,张记、彭桂兰、张雪峰等,2020,食品与机械,https://www.cpsjournals.cn/article/doi/10.13922/j.cnki.cjvst.202304009,中药材 热风干燥；干燥动力学；黄芪切片,01_中药材干燥动力学,问题1、问题4,针对黄芪切片比较热风条件并建立动力学模型，可直接借鉴水分比曲线和模型评价指标。其对象与本题药材相近，适合支持温度、厚度对干燥时间的敏感性分析。,未公开获取,未公开获取
9,基于Weibull分布函数的桔梗切片热风干燥特性,罗燕、李武强、万芳新、黄晓鹏,2020,中国农业科技导报,https://doi.org/10.13304/j.nykjdb.2019.0459,中药材 热风干燥；Weibull；有效水分扩散系数,01_中药材干燥动力学,问题1、问题4,给出桔梗切片Weibull拟合和有效水分扩散系数估计，可作为薄层模型与机理模型的对照。适合用来解释切片厚度和热风温度对终点时间、表面品质的影响。,未公开获取,未公开获取
10,Transport Coefficients for Low and High-Rate Mass Transfer Along a Biological Horizontal Cylinder,Alberto A. Barreto; Mauri Fortes; Wanyr R. Ferreira; Luiz C. A. Crespo,2006,Revista Brasileira de Engenharia Agrícola e Ambiental,https://doi.org/10.1590/S1415-43662006000200027,biological cylinder；convective boundary；heat and mass transfer coefficients,02_热质耦合与水分扩散,问题1、问题2,在水平生物圆柱外部求解动量、能量和组分传递，并计算Nusselt、Sherwood数及高传质率壁面条件。可迁移为圆柱药材表面的对流换热、传质系数和通量边界。,已下载,references\02_热质耦合与水分扩散\2006_Barreto_生物圆柱传热传质系数.pdf
11,Theoretical and Experimental Drying of a Cylindrical Sample by Applying Hot Air and Infrared Radiation in an Inert Medium Fluidized Bed,B. Honarvar; D. Mowla,2012,Brazilian Journal of Chemical Engineering,https://doi.org/10.1590/S0104-66322012000200004,cylindrical material drying；Fick second law；hot air,02_热质耦合与水分扩散,问题1、问题2,直接研究圆柱样品热风/红外干燥，理论模型包含内部传热传质并以实验验证。其几何、径向扩散假设和边界处理与圆柱形药材高度可迁移。,已下载,references\02_热质耦合与水分扩散\2012_Honarvar_圆柱样品热风红外干燥.pdf
12,Simulation of Coupled Heat-Mass Transfer in Sea Cucumbers with Heat Pump Drying,Haibo Zhao; Jiaao Dai; Kun Wu,2022,Applied Sciences,https://doi.org/10.3390/app12115508,coupled heat and mass transfer during drying；porous media；temperature field,02_热质耦合与水分扩散,问题1、问题2、问题3,建立速度场、温度场与多孔介质水分传递的多物理场耦合模型，并用试验验证中心含水率和表面温度。可直接借鉴控制方程、耦合方式、对流边界和误差验证框架。,已下载,references\02_热质耦合与水分扩散\2022_Zhao_海参热泵干燥热质耦合模拟.pdf
13,Environmental Conditions Affecting Ochratoxin A During Solar Drying of Grapes: The Case of Tunnel and Open Air-Drying,Charalampos Templalexis; Paola Giorni; Diamanto Lentzou; et al.,2021,Toxins,https://doi.org/10.3390/toxins13060400,effective moisture diffusivity；peel resistance；drying boundary,02_热质耦合与水分扩散,问题1、问题2、问题4,估计葡萄有效扩散系数和表皮水分传递阻力，并比较隧道与露天边界。虽非药材，其扩散系数反演、表面阻力和终点水活度方法可迁移到具有表皮的圆柱/块根药材。,已下载,references\02_热质耦合与水分扩散\2021_Templalexis_葡萄干燥有效扩散与表皮阻力.pdf
14,Effective Diffusivity and Evaporative Cooling in Convective Drying of Food Material,Chandan Kumar; Graeme J. Millar; M. A. Karim,2015,Drying Technology,https://doi.org/10.1080/07373937.2014.947512,effective moisture diffusivity；evaporative cooling；convective drying,02_热质耦合与水分扩散,问题1、问题2,讨论对流干燥中有效扩散率识别与蒸发冷却，提醒温度场与水分场不可完全解耦。适合支持潜热耦合项、表面能量平衡和扩散系数反演。,未公开获取,未公开获取
